,Identifier,SEDOL,PriceDate,Close,Close_crawler,Pricedate_crawler
0,BA.N,2108601,7/11/2019 0:00,359.0,359.00,07/14/2019 18:27
1,UTX.N,2915500,7/11/2019 0:00,131.34,131.34,07/14/2019 18:27
2,LMT.N,2522096,7/11/2019 0:00,368.23,368.23,07/14/2019 18:27
3,AIR.PA,4012250,7/11/2019 0:00,125.98,125.98,07/14/2019 18:27
4,NOC.N,2648806,7/11/2019 0:00,324.93,324.93,07/14/2019 18:27
5,GD.N,2365161,7/11/2019 0:00,183.6,183.60,07/14/2019 18:27
6,RTN.N,2758051,7/11/2019 0:00,178.08,178.08,07/14/2019 18:27
7,SAF.PA,B058TZ6,7/11/2019 0:00,127.7,127.70,07/14/2019 18:27
8,TDG.N,B11FJK3,7/11/2019 0:00,492.23,492.23,07/14/2019 18:27
9,LHX.N,BK9DTN5,7/11/2019 0:00,194.45,194.45,07/14/2019 18:27
10,RR.L,B63H849,7/11/2019 0:00,8.436,843.60,07/14/2019 18:27
11,BAES.L,0263494,7/11/2019 0:00,4.933,493.30,07/14/2019 18:27
12,MTXGn.DE,B09DHL9,7/11/2019 0:00,214.6,214.60,07/14/2019 18:27
13,TCFP.PA,4162791,7/11/2019 0:00,103.45,103.45,07/14/2019 18:27
14,TXT.N,2885937,7/11/2019 0:00,52.52,52.52,07/14/2019 18:27
15,LDOS.N,BDV82B8,7/11/2019 0:00,81.94,81.94,07/14/2019 18:27
16,HII.N,B40SSC9,7/11/2019 0:00,232.71,232.71,07/14/2019 18:27
17,SPR.N,B1HMMS7,7/11/2019 0:00,75.16,75.16,07/14/2019 18:27
18,FLIR.OQ,2344717,7/11/2019 0:00,53.7,53.70,07/14/2019 18:27
19,CAE.TO,2162760,7/11/2019 0:00,35.49,35.49,07/14/2019 18:27
20,HXL.N,2416779,7/11/2019 0:00,80.55,80.55,07/14/2019 18:27
21,WWD.O,2948089,7/11/2019 0:00,113.64,113.64,07/14/2019 18:27
22,SESFd.PA,B00ZQQ2,7/11/2019 0:00,13.595,13.60,07/14/2019 18:27
23,HEI.N,2419217,7/11/2019 0:00,136.13,136.13,07/14/2019 18:27
24,CW.N,2241205,7/11/2019 0:00,125.16,125.16,07/14/2019 18:27
25,RHMG.DE,5334588,7/11/2019 0:00,103.3,103.30,07/14/2019 18:27
26,MGGT.L,0575809,7/11/2019 0:00,5.417999999999999,541.80,07/14/2019 18:27
27,LDOF.MI,B0DJNG0,7/11/2019 0:00,11.435,11.44,07/14/2019 18:27
28,STEG.SI,6043214,7/11/2019 0:00,4.27,4.27,07/14/2019 18:27
29,VSAT.O,2946243,7/11/2019 0:00,83.38,83.38,07/14/2019 18:27
30,SAIC.N,BDTZZG7,7/11/2019 0:00,86.51,86.51,07/14/2019 18:27
31,MRCY.O,2144047,7/11/2019 0:00,71.86,71.86,07/14/2019 18:27
32,ESLT.TA,6308913,7/11/2019 0:00,550.0,55000.00,07/14/2019 18:27
33,ERJ.N,2611916,7/11/2019 0:00,20.52,20.52,07/14/2019 18:27
34,BBDb.TO,2109723,7/11/2019 0:00,2.2,2.20,07/14/2019 18:27
35,KBR.N,B1HHB18,7/11/2019 0:00,25.05,25.05,07/14/2019 18:27
36,ETL.PA,B0M7KJ7,7/11/2019 0:00,17.135,17.14,07/14/2019 18:27
37,AJRD.N,BWD7PX9,7/11/2019 0:00,45.83,45.83,07/14/2019 18:27
38,AVMD.PA,4067164,7/11/2019 0:00,1168.0,1168.00,07/14/2019 18:27
39,COB.L,B07KD36,7/11/2019 0:00,1.1565,115.65,07/14/2019 18:27
40,ISA.L,B09LSH6,7/11/2019 0:00,5.584,558.40,07/14/2019 18:27
41,MOGa.N,2601218,7/11/2019 0:00,92.51,92.51,07/14/2019 18:27
42,BAB.L,0969703,7/11/2019 0:00,4.28,428.00,07/14/2019 18:27
43,SAABb.ST,5469554,7/11/2019 0:00,307.1,307.10,07/14/2019 18:27
44,IRDM.O,B2QH310,7/11/2019 0:00,24.42,24.42,07/14/2019 18:27
45,047810.KS,B3N3363,7/11/2019 0:00,34100.0,34100.00,07/14/2019 18:27
46,SATS.O,B2NC471,7/11/2019 0:00,46.19,46.19,07/14/2019 18:27
47,KTOS.O,2512149,7/11/2019 0:00,24.01,24.01,07/14/2019 18:27
48,QQ.L,B0WMWD0,7/11/2019 0:00,2.78,278.00,07/14/2019 18:27
49,MANT.O,2825308,7/11/2019 0:00,65.37,65.37,07/14/2019 18:27
50,BAJE.BO,BF1THH6,7/11/2019 0:00,106.75,106.75,07/14/2019 18:27
51,I.N,B8CP440,7/11/2019 0:00,20.43,20.43,07/14/2019 18:27
52,ULE.L,0912332,7/11/2019 0:00,17.26,1726.00,07/14/2019 18:27
53,2357.HK,6707899,7/11/2019 0:00,4.41,4.41,07/14/2019 18:27
54,AVAV.O,B1P5YY8,7/11/2019 0:00,55.37,55.37,07/14/2019 18:27
55,KOG.OL,5208241,7/11/2019 0:00,118.8,118.80,07/14/2019 18:27
56,SNR.L,0795823,7/11/2019 0:00,2.176,217.60,07/14/2019 18:27
57,TGI.N,2893071,7/11/2019 0:00,23.1,23.10,07/14/2019 18:27
58,LIN.N,BZ12WP8,7/11/2019 0:00,202.81,202.81,07/14/2019 18:27
59,ANSS.O,2045623,7/11/2019 0:00,211.3,211.30,07/14/2019 18:27
60,3402.T,6897143,7/11/2019 0:00,770.1,770,07/14/2019 18:27
61,SKFb.ST,B1Q3J35,7/11/2019 0:00,154.0,154.00,07/14/2019 18:27
62,ROLL.O,B0GLYB5,7/11/2019 0:00,162.58,162.58,07/14/2019 18:27
63,AKZO.AS,5458314,7/11/2019 0:00,82.45,82.45,07/14/2019 18:27
64,SOLB.BR,4821100,7/11/2019 0:00,86.72,86.72,07/14/2019 18:27
65,ATI.N,2526117,7/11/2019 0:00,23.96,23.96,07/14/2019 18:27
66,GRMN.O,B3Z5T14,7/11/2019 0:00,78.99,78.99,07/14/2019 18:27
67,CAPP.PA,4163437,7/11/2019 0:00,113.65,113.65,07/14/2019 18:27
68,SWKS.O,2961053,7/11/2019 0:00,79.18,79.18,07/14/2019 18:27
69,ALU.AX,6167697,7/11/2019 0:00,36.76,36.76,07/14/2019 18:27
70,NATI.O,2645078,7/11/2019 0:00,42.57,42.57,07/14/2019 18:27
71,RPD.OQ,BZ22CY6,7/11/2019 0:00,62.71,62.71,07/14/2019 18:27
72,RS.N,2729068,7/11/2019 0:00,90.81,90.81,07/14/2019 18:27
73,VIAV.O,BYXB201,7/11/2019 0:00,14.34,14.34,07/14/2019 18:27
74,BOY.L,B3FLWH9,7/11/2019 0:00,7.5950003,759.50,07/14/2019 18:27
75,LEG.N,2510682,7/11/2019 0:00,37.84,37.84,07/14/2019 18:27
76,SOPR.PA,5633616,7/11/2019 0:00,101.5,101.50,07/14/2019 18:27
77,OSIS.O,2111579,7/11/2019 0:00,113.62,113.62,07/14/2019 18:27
