ExDate,IdentifierMappingID,EventType,EventCurrency,LocalCurrency,EventAmount,OfferPrice,TermOldShares,TermNewShares,SpunOffStock,SpunOffCash,BuybackShares,PriceExT1,FxExT1,PayDate,PayDatePrice,PayDatePriceT1,PayDateFx,PayDateFxT1,FrankingPercent,IncomePercent,WHTType,REIT,Comments,TaxRate
5/1/2018,2,Cash Dividend,US,US,0.22,\N,\N,\N,\N,\N,0,41.49,1,5/16/2018,\N,42.72,\N,1,0,0,Standard,0,\N,30
7/31/2018,2,Cash Dividend,US,US,0.27,\N,\N,\N,\N,\N,0,40.07,1,8/15/2018,\N,40.4,\N,1,0,0,Custom,0,\N,67
10/30/2018,2,Cash Dividend,US,US,0.27,\N,\N,\N,\N,\N,0,36.16,1,11/14/2018,\N,37.69,\N,1,0,0,Flat,0,\N,\N
1/30/2019,2,Cash Dividend,US,US,0.32,\N,\N,\N,\N,\N,0,35.05,1,2/14/2019,\N,36.31,\N,1,0,0,Standard,0,\N,30
4/30/2019,2,Cash Dividend,US,US,0.32,\N,\N,\N,\N,\N,0,36.39,1,5/15/2019,\N,34.91,\N,1,0,0,Custom,0,\N,67
7/20/2018,2,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/2/2018,3,Cash Dividend,CH,CH,5.6,\N,\N,\N,\N,\N,0,157.7,1,5/4/2018,\N,154.4,\N,1,0,0,Flat,0,\N,\N
5/2/2019,3,Cash Dividend,CH,CH,6,\N,\N,\N,\N,\N,0,174.6,1,5/6/2019,\N,171.2,\N,1,0,0,Standard,0,\N,35
5/2/2018,4,Cash Dividend,CA,CA,0.18,\N,\N,\N,\N,\N,0,41.41,1,5/25/2018,\N,43.36,\N,1,0,0,Custom,0,\N,25
9/4/2018,4,Cash Dividend,CA,CA,0.18,\N,\N,\N,\N,\N,0,40.86,1,9/26/2018,\N,40.84,\N,1,0,0,Flat,0,\N,\N
10/25/2018,4,Cash Dividend,CA,CA,0.18,\N,\N,\N,\N,\N,0,40.93,1,11/13/2018,\N,43.4,\N,1,0,0,Standard,0,\N,25
2/13/2019,4,Cash Dividend,CA,CA,0.2,\N,\N,\N,\N,\N,0,49.35,1,3/12/2019,\N,48.94,\N,1,0,0,Custom,0,\N,25
5/15/2019,4,Cash Dividend,CA,CA,0.2,\N,\N,\N,\N,\N,0,48.9,1,6/7/2019,\N,50.17,\N,1,0,0,Flat,0,\N,\N
5/2/2018,5,Cash Dividend,EU,EU,1.7,\N,\N,\N,\N,\N,0,42.25,1,5/4/2018,\N,41.5,\N,1,0,0,Standard,0,\N,0
4/30/2019,5,Cash Dividend,EU,EU,1.7,\N,\N,\N,\N,\N,0,35.12,1,5/3/2019,\N,33.67,\N,1,0,0,Custom,0,\N,83
5/2/2018,6,Cash Dividend,EU,EU,0.53,\N,\N,\N,\N,\N,0,20.42,1,5/4/2018,\N,19.805,\N,1,0,0,Flat,0,\N,\N
5/2/2019,6,Cash Dividend,EU,EU,0.78,\N,\N,\N,\N,\N,0,23.36,1,5/6/2019,\N,22.64,\N,1,0,0,Standard,0,\N,0
5/2/2018,7,Cash Dividend,EU,EU,2.01,\N,\N,\N,\N,\N,0,75.28,1,5/4/2018,\N,73.9,\N,1,0,0,Custom,0,\N,83
5/2/2018,7,Cash Dividend,EU,EU,0.19,\N,\N,\N,\N,\N,0,75.28,1,5/4/2018,\N,73.9,\N,1,0,0,Flat,0,\N,\N
4/30/2019,7,Cash Dividend,EU,EU,2.35,\N,\N,\N,\N,\N,0,76.76,1,5/3/2019,\N,73.96,\N,1,0,0,Standard,0,\N,0
4/25/2019,7,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,8,Cash Dividend,US,US,0.3575,\N,\N,\N,\N,\N,0,46.86,1,5/31/2018,\N,46.15,\N,1,0,0,Custom,0,\N,67
8/2/2018,8,Cash Dividend,US,US,0.3575,\N,\N,\N,\N,\N,0,47.86,1,8/31/2018,\N,49.51,\N,1,0,0,Flat,0,\N,\N
11/1/2018,8,Cash Dividend,US,US,0.3575,\N,\N,\N,\N,\N,0,49.52,1,11/30/2018,\N,51.31,\N,1,0,0,Standard,0,\N,30
1/31/2019,8,Cash Dividend,US,US,0.3825,\N,\N,\N,\N,\N,0,51.44,1,2/28/2019,\N,53.85,\N,1,0,0,Custom,0,\N,67
5/2/2019,8,Cash Dividend,US,US,0.3825,\N,\N,\N,\N,\N,0,54.98,1,5/31/2019,\N,55.75,\N,1,0,0,Flat,0,\N,\N
5/3/2018,9,Cash Dividend,GB,GB,0.3341,\N,\N,\N,\N,\N,0,4000,100,6/6/2018,\N,4166,\N,100,0,0,Standard,0,\N,\N
8/2/2018,9,Cash Dividend,GB,GB,0.3435,\N,\N,\N,\N,\N,0,4355,100,9/5/2018,\N,4357,\N,100,0,0,Custom,0,\N,70
11/1/2018,9,Cash Dividend,GB,GB,0.3393,\N,\N,\N,\N,\N,0,4146.5,100,12/5/2018,\N,4295,\N,100,0,0,Flat,0,\N,\N
2/14/2019,9,Cash Dividend,GB,GB,0.3361,\N,\N,\N,\N,\N,0,4260.5,100,3/20/2019,\N,4257.5,\N,100,0,0,Standard,0,\N,\N
5/2/2019,9,Cash Dividend,GB,GB,0.3546,\N,\N,\N,\N,\N,0,4630,100,6/5/2019,\N,4814.5,\N,100,0,0,Custom,0,\N,70
5/8/2018,9,Buyback,\N,GB,\N,\N,\N,\N,\N,\N,123176000,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
8/20/2018,9,Buyback,\N,GB,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,10,Cash Dividend,EU,EU,0.3872,\N,\N,\N,\N,\N,0,46.375,\N,6/6/2018,\N,48.085,\N,\N,0,0,Flat,0,\N,\N
8/2/2018,10,Cash Dividend,EU,EU,0.3872,\N,\N,\N,\N,\N,0,49.36,\N,9/5/2018,\N,48.92,\N,\N,0,0,Standard,0,\N,0
11/1/2018,10,Cash Dividend,EU,EU,0.3872,\N,\N,\N,\N,\N,0,47.525,\N,12/5/2018,\N,49.435,\N,\N,0,0,Custom,0,\N,83
2/14/2019,10,Cash Dividend,EU,EU,0.3872,\N,\N,\N,\N,\N,0,49.135,\N,3/20/2019,\N,50.44,\N,\N,0,0,Flat,0,\N,\N
5/2/2019,10,Cash Dividend,EU,EU,0.4104,\N,\N,\N,\N,\N,0,53.96,\N,6/5/2019,\N,53.57,\N,\N,0,0,Standard,0,\N,0
5/15/2018,10,Buyback,\N,TH,\N,\N,\N,\N,\N,\N,29672633,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
4/29/2019,10,Buyback,\N,TH,\N,\N,\N,\N,\N,\N,1787000,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,11,Cash Dividend,US,US,0.19125,\N,\N,\N,\N,\N,0,64.14,1,6/1/2018,\N,63.75,\N,1,0,0,Custom,0,\N,67
8/2/2018,11,Cash Dividend,US,US,0.19125,\N,\N,\N,\N,\N,0,69.7,1,8/31/2018,\N,67.12,\N,1,0,0,Flat,0,\N,\N
11/1/2018,11,Cash Dividend,US,US,0.19125,\N,\N,\N,\N,\N,0,78.16,1,11/30/2018,\N,76.74,\N,1,0,0,Standard,0,\N,30
1/31/2019,11,Cash Dividend,US,US,0.2,\N,\N,\N,\N,\N,0,72.58,1,3/1/2019,\N,69.31,\N,1,0,0,Custom,0,\N,67
5/2/2019,11,Cash Dividend,US,US,0.2,\N,\N,\N,\N,\N,0,70.1,1,5/31/2019,\N,60.05,\N,1,0,0,Flat,0,\N,\N
5/3/2018,12,Cash Dividend,GB,GB,0.3775372,\N,\N,\N,\N,\N,0,1947.995936,100,5/25/2018,\N,2089,\N,100,0,0,Standard,0,\N,\N
8/23/2018,12,Cash Dividend,GB,GB,0.1922799,\N,\N,\N,\N,\N,0,2148,100,9/14/2018,\N,2087,\N,100,0,0,Flat,0,\N,\N
4/11/2019,12,Cash Dividend,GB,GB,0.4711974,\N,\N,\N,\N,\N,0,1811,100,5/16/2019,\N,1662.5,\N,100,0,0,Standard,0,\N,\N
5/3/2018,12,Special Cash Dividend,GB,GB,0.88004,\N,\N,\N,\N,\N,0,1947.995936,100,5/25/2018,\N,2089,\N,100,0,0,Custom,0,\N,70
5/3/2018,13,Cash Dividend,US,US,0.72,\N,\N,\N,\N,\N,0,142.4,1,6/11/2018,\N,154.23,\N,1,0,0,Custom,0,\N,67
8/3/2018,13,Cash Dividend,US,US,0.8,\N,\N,\N,\N,\N,0,169.31,1,9/10/2018,\N,177.1,\N,1,0,0,Flat,0,\N,\N
11/1/2018,13,Cash Dividend,US,US,0.8,\N,\N,\N,\N,\N,0,167.83,1,12/10/2018,\N,156.99,\N,1,0,0,Standard,0,\N,30
2/1/2019,13,Cash Dividend,US,US,0.86,\N,\N,\N,\N,\N,0,167.74,1,3/11/2019,\N,176.78,\N,1,0,0,Custom,0,\N,67
5/2/2019,13,Cash Dividend,US,US,0.86,\N,\N,\N,\N,\N,0,200.2,1,6/10/2019,\N,203.04,\N,1,0,0,Flat,0,\N,\N
5/3/2018,14,Cash Dividend,SE,SE,4,\N,\N,\N,\N,\N,0,145.7,1,5/9/2018,\N,141.65,\N,1,0,0,Standard,0,\N,30
5/7/2019,14,Cash Dividend,SE,SE,4.4,\N,\N,\N,\N,\N,0,164,1,5/13/2019,\N,162.85,\N,1,0,0,Custom,1,\N,\N
6/1/2018,14,Buyback,\N,SE,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/1/2019,14,Buyback,\N,SE,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,15,Cash Dividend,US,US,0.66,\N,\N,\N,\N,\N,0,72.82,1,5/18/2018,\N,77.67,\N,1,0,0,Flat,0,\N,\N
8/2/2018,15,Cash Dividend,US,US,0.66,\N,\N,\N,\N,\N,0,82.37,1,8/17/2018,\N,80.51,\N,1,0,0,Standard,0,\N,30
11/1/2018,15,Cash Dividend,US,US,0.66,\N,\N,\N,\N,\N,0,71.67,1,11/16/2018,\N,73.98,\N,1,0,0,Custom,0,\N,67
3/7/2019,15,Cash Dividend,US,US,0.71,\N,\N,\N,\N,\N,0,80.95,1,3/22/2019,\N,82.01,\N,1,0,0,Flat,0,\N,\N
5/2/2019,15,Cash Dividend,US,US,0.71,\N,\N,\N,\N,\N,0,81.91,1,5/17/2019,\N,80.01,\N,1,0,0,Standard,0,\N,30
5/3/2018,16,Cash Dividend,NO,NO,4.2,\N,\N,\N,\N,\N,0,174.7385987,1,5/15/2018,\N,166.2230724,\N,1,0,0,Custom,0,\N,69
10/18/2018,16,Cash Dividend,NO,NO,3.9,\N,\N,\N,\N,\N,0,152,1,11/1/2018,\N,154.65,\N,1,0,0,Standard,0,\N,25
5/8/2019,16,Cash Dividend,NO,NO,4.4,\N,\N,\N,\N,\N,0,178.15,1,5/21/2019,\N,180.9,\N,1,0,0,Custom,0,\N,69
9/20/2018,16,Special Cash Dividend,NO,NO,4.4,\N,\N,\N,\N,\N,0,159.7999326,1,10/2/2018,\N,158.45,\N,1,0,0,Flat,0,\N,\N
6/22/2018,16,Buyback,\N,NO,\N,\N,\N,\N,\N,\N,29000000,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/14/2019,16,Buyback,\N,NO,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,17,Cash Dividend,US,US,0.39,\N,\N,\N,\N,\N,0,52.19,1,6/1/2018,\N,53.99,\N,1,0,0,Flat,0,\N,\N
8/9/2018,17,Cash Dividend,US,US,0.43,\N,\N,\N,\N,\N,0,59.19,1,9/1/2018,\N,58.48,\N,1,0,0,Standard,0,\N,30
11/8/2018,17,Cash Dividend,US,US,0.43,\N,\N,\N,\N,\N,0,53.58,1,12/1/2018,\N,54.28,\N,1,0,0,Custom,0,\N,67
1/31/2019,17,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,50.09,1,3/1/2019,\N,49.89,\N,1,0,0,Flat,0,\N,\N
5/9/2019,17,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,47,1,6/1/2019,\N,44.37,\N,1,0,0,Standard,0,\N,30
10/23/2018,17,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,18,Cash Dividend,EU,EU,1.26,\N,\N,\N,\N,\N,0,23.845,1,5/7/2018,\N,22.555,\N,1,0,0,Custom,0,\N,83
5/2/2019,18,Cash Dividend,EU,EU,1.34,\N,\N,\N,\N,\N,0,23.745,1,5/6/2019,\N,23.07,\N,1,0,0,Flat,0,\N,\N
4/24/2019,18,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,242491662,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,19,Cash Dividend,SG,SG,0.6,\N,\N,\N,\N,\N,0,30.10998565,1,5/15/2018,\N,29.22,\N,1,0,0,Standard,0,\N,\N
8/8/2018,19,Cash Dividend,SG,SG,0.6,\N,\N,\N,\N,\N,0,26.79,1,8/21/2018,\N,25.17,\N,1,0,0,Flat,0,\N,\N
5/2/2019,19,Cash Dividend,SG,SG,0.6,\N,\N,\N,\N,\N,0,28.25,1,5/17/2019,\N,26.58,\N,1,0,0,Standard,0,\N,\N
5/17/2019,19,Cash Dividend,SG,SG,0.3,\N,\N,\N,\N,\N,0,26.58,1,5/31/2019,\N,24.6,\N,1,0,0,Custom,0,\N,92
5/3/2018,19,Special Cash Dividend,SG,SG,0.5,\N,\N,\N,\N,\N,0,30.10998565,1,5/15/2018,\N,29.22,\N,1,0,0,Custom,0,\N,92
5/14/2019,19,Buyback,\N,SG,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,20,Cash Dividend,GB,GB,0.0749,\N,\N,\N,\N,\N,0,290.6,100,6/18/2018,\N,308.3,\N,100,0,0,Flat,0,\N,\N
10/4/2018,20,Cash Dividend,GB,GB,0.0333,\N,\N,\N,\N,\N,0,261.2,100,11/9/2018,\N,256.8,\N,100,0,0,Standard,0,\N,\N
5/24/2018,20,Buyback,\N,GB,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
1/25/2019,20,Buyback,\N,GB,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/3/2018,21,Cash Dividend,GB,GB,0.372,\N,\N,\N,\N,\N,0,4374,100,5/30/2018,\N,4480,\N,100,0,0,Custom,0,\N,70
8/23/2018,21,Cash Dividend,GB,GB,0.172,\N,\N,\N,\N,\N,0,4447,100,9/18/2018,\N,4751,\N,100,0,0,Flat,0,\N,\N
5/2/2019,21,Cash Dividend,GB,GB,0.432,\N,\N,\N,\N,\N,0,5186,100,5/29/2019,\N,5224,\N,100,0,0,Standard,0,\N,\N
5/3/2018,22,Cash Dividend,SG,SG,0.0605,\N,\N,\N,\N,\N,0,2.26,1,5/14/2018,\N,2.33,\N,1,0,0,Custom,0,\N,92
8/16/2018,22,Cash Dividend,SG,SG,0.0435,\N,\N,\N,\N,\N,0,2.37,1,8/28/2018,\N,2.33,\N,1,0,0,Flat,0,\N,\N
5/6/2019,22,Cash Dividend,SG,SG,0.0615,\N,\N,\N,\N,\N,0,2.72,1,5/14/2019,\N,2.52,\N,1,0,0,Standard,0,\N,\N
5/3/2018,23,Cash Dividend,EU,EU,0.84,\N,\N,\N,\N,\N,0,21.2,1,5/7/2018,\N,20.32,\N,1,0,0,Custom,0,\N,83
4/26/2019,23,Cash Dividend,EU,EU,0.89,\N,\N,\N,\N,\N,0,21.38,1,4/30/2019,\N,20.86,\N,1,0,0,Flat,0,\N,\N
5/7/2019,24,Cash Dividend,EU,EU,1.94,\N,\N,\N,\N,\N,0,72.44,1,5/9/2019,\N,70.02,\N,1,0,0,Custom,0,\N,83
5/4/2018,25,Cash Dividend,US,US,0.36,\N,\N,\N,\N,\N,0,33.88,1,6/1/2018,\N,34.42,\N,1,0,0,Flat,0,\N,\N
8/6/2018,25,Cash Dividend,US,US,0.36,\N,\N,\N,\N,\N,0,36.55,1,9/1/2018,\N,37.38,\N,1,0,0,Standard,0,\N,30
11/6/2018,25,Cash Dividend,US,US,0.36,\N,\N,\N,\N,\N,0,37.48,1,12/1/2018,\N,37.83,\N,1,0,0,Custom,0,\N,67
2/6/2019,25,Cash Dividend,US,US,0.38,\N,\N,\N,\N,\N,0,38.69,1,3/1/2019,\N,40.75,\N,1,0,0,Flat,0,\N,\N
5/6/2019,25,Cash Dividend,US,US,0.38,\N,\N,\N,\N,\N,0,42.5,1,6/1/2019,\N,41.24,\N,1,0,0,Standard,0,\N,30
5/4/2018,26,Cash Dividend,US,US,0.37,\N,\N,\N,\N,\N,0,23.53,1,5/22/2018,\N,23.13,\N,1,0,0,Custom,0,\N,67
8/3/2018,26,Cash Dividend,US,US,0.37,\N,\N,\N,\N,\N,0,26.04,1,8/21/2018,\N,27.07,\N,1,0,0,Flat,0,\N,\N
11/2/2018,26,Cash Dividend,US,US,0.37,\N,\N,\N,\N,\N,0,28.13,1,11/20/2018,\N,28.66,\N,1,0,0,Standard,0,\N,30
2/15/2019,26,Cash Dividend,US,US,0.37,\N,\N,\N,\N,\N,0,30.94,1,2/28/2019,\N,30.78,\N,1,0,0,Custom,0,\N,67
5/3/2019,26,Cash Dividend,US,US,0.37,\N,\N,\N,\N,\N,0,30.54,1,5/21/2019,\N,31.02,\N,1,0,0,Flat,0,\N,\N
5/4/2018,27,Cash Dividend,US,US,0.3,\N,\N,\N,\N,\N,0,52.28,1,6/1/2018,\N,55.2,\N,1,0,0,Standard,0,\N,30
8/6/2018,27,Cash Dividend,US,US,0.3,\N,\N,\N,\N,\N,0,49.63,1,9/1/2018,\N,48.43,\N,1,0,0,Custom,0,\N,67
11/6/2018,27,Cash Dividend,US,US,0.3,\N,\N,\N,\N,\N,0,47.97,1,12/1/2018,\N,49.31,\N,1,0,0,Flat,0,\N,\N
2/6/2019,27,Cash Dividend,US,US,0.315,\N,\N,\N,\N,\N,0,50.01,1,3/1/2019,\N,52.96,\N,1,0,0,Standard,0,\N,30
5/6/2019,27,Cash Dividend,US,US,0.315,\N,\N,\N,\N,\N,0,51.75,1,6/1/2019,\N,44.04,\N,1,0,0,Custom,0,\N,67
9/29/2018,27,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/4/2018,28,Cash Dividend,US,US,0.62,\N,\N,\N,\N,\N,0,103.6,1,5/21/2018,\N,110.54,\N,1,0,0,Flat,0,\N,\N
7/30/2018,28,Cash Dividend,US,US,0.62,\N,\N,\N,\N,\N,0,112.6,1,8/13/2018,\N,110.09,\N,1,0,0,Standard,1,\N,\N
10/30/2018,28,Cash Dividend,US,US,0.77,\N,\N,\N,\N,\N,0,90.18,1,11/19/2018,\N,97.85,\N,1,0,0,Custom,0,\N,67
1/30/2019,28,Cash Dividend,US,US,0.77,\N,\N,\N,\N,\N,0,101.35,1,2/11/2019,\N,104.55,\N,1,0,0,Flat,0,\N,\N
5/3/2019,28,Cash Dividend,US,US,0.77,\N,\N,\N,\N,\N,0,117.46,1,5/20/2019,\N,106.79,\N,1,0,0,Standard,0,\N,30
10/23/2018,28,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/4/2018,29,Cash Dividend,US,US,0.32,\N,\N,\N,\N,\N,0,67.94,1,5/25/2018,\N,69.31,\N,1,0,0,Custom,0,\N,67
8/3/2018,29,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,71.84,1,8/24/2018,\N,70.81,\N,1,0,0,Flat,0,\N,\N
11/2/2018,29,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,65.83,1,11/21/2018,\N,62.53,\N,1,0,0,Standard,0,\N,30
2/1/2019,29,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,64.46,1,2/22/2019,\N,64.32,\N,1,0,0,Custom,0,\N,67
5/3/2019,29,Cash Dividend,US,US,0.45,\N,\N,\N,\N,\N,0,70.36,1,5/24/2019,\N,63.9,\N,1,0,0,Flat,0,\N,\N
7/13/2018,29,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/4/2018,30,Cash Dividend,US,US,0.63,\N,\N,\N,\N,\N,0,69.39,1,5/18/2018,\N,66.25,\N,1,0,0,Standard,0,\N,30
8/3/2018,30,Cash Dividend,US,US,0.63,\N,\N,\N,\N,\N,0,71.69,1,8/17/2018,\N,76.4,\N,1,0,0,Custom,0,\N,67
11/2/2018,30,Cash Dividend,US,US,0.63,\N,\N,\N,\N,\N,0,68.12,1,11/19/2018,\N,71.14,\N,1,0,0,Flat,0,\N,\N
1/25/2019,30,Cash Dividend,US,US,0.66,\N,\N,\N,\N,\N,0,65.73,1,2/14/2019,\N,68.89,\N,1,0,0,Standard,0,\N,30
5/3/2019,30,Cash Dividend,US,US,0.66,\N,\N,\N,\N,\N,0,67.96,1,5/17/2019,\N,67.06,\N,1,0,0,Custom,0,\N,67
5/4/2018,31,Cash Dividend,EU,EU,3.96,\N,\N,\N,\N,\N,0,176.04,1,5/8/2018,\N,176.22,\N,1,0,0,Flat,0,\N,\N
5/15/2019,31,Cash Dividend,EU,EU,4.86,\N,\N,\N,\N,\N,0,149.02,1,5/17/2019,\N,148.1,\N,1,0,0,Standard,0,\N,0
5/4/2018,32,Cash Dividend,US,US,0.9,\N,\N,\N,\N,\N,0,131.49,1,5/18/2018,\N,141.45,\N,1,0,0,Custom,0,\N,67
8/3/2018,32,Cash Dividend,US,US,0.9,\N,\N,\N,\N,\N,0,140.23,1,8/17/2018,\N,138.71,\N,1,0,0,Flat,0,\N,\N
11/2/2018,32,Cash Dividend,US,US,0.9,\N,\N,\N,\N,\N,0,129.82,1,11/16/2018,\N,126.66,\N,1,0,0,Standard,0,\N,30
2/14/2019,32,Cash Dividend,US,US,0.9,\N,\N,\N,\N,\N,0,129.8,1,2/28/2019,\N,131.87,\N,1,0,0,Custom,0,\N,67
5/3/2019,32,Cash Dividend,US,US,0.97,\N,\N,\N,\N,\N,0,147.37,1,5/17/2019,\N,144.97,\N,1,0,0,Flat,0,\N,\N
5/4/2018,33,Cash Dividend,US,US,0.15,\N,\N,\N,\N,\N,0,32.13,1,5/17/2018,\N,34.59,\N,1,0,0,Standard,0,\N,30
8/3/2018,33,Cash Dividend,US,US,0.21,\N,\N,\N,\N,\N,0,29.69,1,8/16/2018,\N,29.86,\N,1,0,0,Custom,0,\N,67
11/2/2018,33,Cash Dividend,US,US,0.21,\N,\N,\N,\N,\N,0,29.44,1,11/15/2018,\N,26.92,\N,1,0,0,Flat,0,\N,\N
2/1/2019,33,Cash Dividend,US,US,0.21,\N,\N,\N,\N,\N,0,30.04,1,2/14/2019,\N,30.77,\N,1,0,0,Standard,0,\N,30
5/3/2019,33,Cash Dividend,US,US,0.21,\N,\N,\N,\N,\N,0,34.15,1,5/16/2019,\N,34.86,\N,1,0,0,Custom,0,\N,67
5/17/2018,33,Buyback,\N,US,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/4/2018,34,Cash Dividend,EU,EU,2.65,\N,\N,\N,\N,\N,0,77.6,1,5/8/2018,\N,74.6,\N,1,0,0,Flat,0,\N,\N
5/17/2019,34,Cash Dividend,EU,EU,2.7,\N,\N,\N,\N,\N,0,57.7,1,5/21/2019,\N,54.66,\N,1,0,0,Standard,0,\N,0
5/7/2018,35,Cash Dividend,US,US,0.87,\N,\N,\N,\N,\N,0,56.18,1,5/23/2018,\N,55.68,\N,1,0,0,Custom,0,\N,67
8/6/2018,35,Cash Dividend,US,US,0.87,\N,\N,\N,\N,\N,0,64.32,1,8/21/2018,\N,66.63,\N,1,0,0,Flat,0,\N,\N
11/8/2018,35,Cash Dividend,US,US,0.87,\N,\N,\N,\N,\N,0,69.1,1,11/21/2018,\N,70.29,\N,1,0,0,Standard,0,\N,30
2/21/2019,35,Cash Dividend,US,US,0.87,\N,\N,\N,\N,\N,0,75.75,1,2/28/2019,\N,74.54,\N,1,0,0,Custom,0,\N,67
5/13/2019,35,Cash Dividend,US,US,0.87,\N,\N,\N,\N,\N,0,77.53,1,5/28/2019,\N,81.57,\N,1,0,0,Flat,0,\N,\N
5/7/2018,36,Cash Dividend,DK,DK,5,\N,\N,\N,\N,\N,0,569.8,1,5/9/2018,\N,576.4,\N,1,0,0,Standard,0,\N,27
12/6/2018,36,Cash Dividend,DK,DK,11,\N,\N,\N,\N,\N,0,626,1,12/10/2018,\N,628.8,\N,1,0,0,Custom,0,\N,18
